===== Starting battle of <ReluctantRan> vs <ParanoidBot> with memory tape size: 15 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >110 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >109 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >108 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >107 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >106 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >105 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >104 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >103 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >102 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >101 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >99 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >98 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -119< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >97 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -119< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >96 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -118< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >95 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -118< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >94 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -117< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >93 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -117< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >92 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -116< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >91 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -116< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >90 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -115< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >89 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -115< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >88 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -114< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >87 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -114< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >86 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -113< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >85 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -113< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >84 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -112< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >83 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -112< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >82 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -111< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >81 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -111< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >80 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -110< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >79 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -110< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >78 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -109< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >77 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -109< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >76 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -108< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >75 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -108< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >74 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -107< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >73 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -107< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >72 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -106< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >71 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -106< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >70 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -105< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >69 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -105< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >68 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -104< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >67 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -104< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >66 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >65 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >64 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >63 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >62 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >61 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >60 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >59 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >58 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >57 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >56 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >55 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >54 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >53 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >52 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >51 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >50 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >49 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >48 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >47 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >46 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >45 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >44 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >43 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >42 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >41 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >40 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >39 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >38 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >37 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >36 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >35 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >34 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >33 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >32 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >31 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -86< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >30 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >29 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -85< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >28 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >27 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -84< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >26 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >25 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -83< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >24 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >23 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -82< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >22 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >21 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -81< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >20 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >19 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -80< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >18 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >17 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -79< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >15 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -78< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >14 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >13 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -77< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >12 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >11 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -76< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >10 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >9 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -75< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -74< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -73< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -72< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -71< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -70< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -69< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -68< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-6 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -67< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-9 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -66< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-10 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-11 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -65< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
[ >-12 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -64< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 128 ]
